global_id,name,device,technique,operator,sample_global_id,sample_name,description,spot_global_id,spot_attachment_file_global_id,spot_x_image,spot_y_image,Sr (ng/g),Sr_error,Li (ng/g),Li_error,SiO2 (ug/g),SiO2_error,d18O (ug/g),d18O_error,d17O (ug/g),d17O_error,Cl (ug/g),Cl_error,F (ug/g),F_error,S (cg/g),S_error,C (ug/g),C_error,H2O (ug/g),H2O_error,P2O5 (ug/g),P2O5_error,K2O (ug/g),K2O_error,Na2O (ug/g),Na2O_error,CaO (ug/g),CaO_error,MgO (cg/g),MgO_error,NiO (ug/g),NiO_error,MnO (ug/g),MnO_error,FeO (cg/g),FeO_error,Cr2O3 (ug/g),Cr2O3_error,Al2O3 (ug/g),Al2O3_error,TiO2 (ug/g),TiO2_error,total (cg/g),total_error,SO3 (ug/g),SO3_error
20131126174331-590441,CBK-1-i/O-3iso/ys_mer_cbk1i@1717@1718/@1718,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174336-363196,20131126174323-128252,443.412109375,-235.9462890625,,,,,,,,,,,,,,,,,,,,,501600.0,,,,8100.0,,438900.0,,3.7,,,,,,1.57,,,,,,,,100.13,,,
20131126173212-191611,CBK-1-i/O-3iso/ys_ol_cbk1i@1588@1593/@1588,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173218-863697,20131126173218-040716,174.41796875,-199.82421875,,,,,361500.0,,,,,,,,,,,,,,,,,,,,,,,,34.97,,,,4600.0,,26.45,,18000.0,,,,,,99.84,,,
20131126173225-949234,CBK-1-i/O-3iso/ys_ol_cbk1i@1588@1593/@1589,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173229-270777,20131126173218-040716,261.2646484375,-446.5302734375,,,,,375900.0,,,,,,,,,,,,,,,,,,,,,,,,36.27,,,,4600.0,,25.83,,,,,,,,100.15,,,
20131126173236-765986,CBK-1-i/O-3iso/ys_ol_cbk1i@1588@1593/@1591,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173244-826855,20131126173218-040716,614.03125,-212.8896484375,,,,,372700.0,,,,,,,,,,,,,,,,,,,,,,,,35.74,,,,5000.0,,26.75,,,,,,,,100.25,,,
20131126173251-351045,CBK-1-i/O-3iso/ys_ol_cbk1i@1588@1593/@1592,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173255-392201,20131126173218-040716,537.9443359375,-189.064453125,,,,,374000.0,,,,,,,,,,,,,,,,,,,,,,,,35.69,,,,4500.0,,26.39,,,,,,,,99.92,,,
20131126173302-289547,CBK-1-i/O-3iso/ys_ol_cbk1i@1588@1593/@1593,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173307-431078,20131126173218-040716,502.5908203125,-56.1044921875,,,,,371800.0,,,,,,,,,,,,,,,,,,,,,,,,35.59,,,,4600.0,,26.84,,,,,,,,100.07,,,
20131126173549-781128,CBK-1-i/O-3iso/ys_ol_cbk1i@1595@1647/@1595,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173556-921560,20131126173556-714150,373.4736328125,-185.990234375,,,,,363500.0,,,,,,,,,,,,,,,,,,,,,,,,34.49,,,,4800.0,,26.96,,15800.0,,2500.0,,,,100.11,,,
20131126173603-540830,CBK-1-i/O-3iso/ys_ol_cbk1i@1595@1647/@1596,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173607-360902,20131126173556-714150,82.9599609375,-314.3388671875,,,,,372200.0,,,,,,,,,,,,,,,,,,,,,,,,35.67,,,,5300.0,,26.58,,,,,,,,100.0,,,
20131126173615-915521,CBK-1-i/O-3iso/ys_ol_cbk1i@1595@1647/@1597,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173622-297328,20131126173556-714150,99.8681640625,-274.3740234375,,,,,370500.0,,,,,,,,,,,,,,,,,,,,,,,,35.44,,,,3700.0,,26.84,,5400.0,,,,,,100.24,,,
20131126173629-776072,CBK-1-i/O-3iso/ys_ol_cbk1i@1595@1647/@1640,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173635-447159,20131126173556-714150,211.30859375,-354.3037109375,,,,,385900.0,,,,,,,,,,,,,,,,,,,,,,4300.0,,34.04,,,,4400.0,,25.36,,,,7900.0,,,,99.66,,,
20131126173642-292248,CBK-1-i/O-3iso/ys_ol_cbk1i@1595@1647/@1641,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173647-631687,20131126173556-714150,287.3955078125,-166.0078125,,,,,373700.0,,,,,,,,,,,,,,,,,,,,,,,,35.67,,,,4600.0,,26.66,,,,,,,,100.16,,,
20131126173654-922175,CBK-1-i/O-3iso/ys_ol_cbk1i@1595@1647/@1642,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173659-478949,20131126173556-714150,36.078125,-332.015625,,,,,371200.0,,,,,,,,,,,,,,,,,,,,,,,,35.82,,,,4900.0,,26.62,,,,,,,,100.04,,,
20131126173706-742516,CBK-1-i/O-3iso/ys_ol_cbk1i@1595@1647/@1645,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173710-379751,20131126173556-714150,489.525390625,-340.4697265625,,,,,372200.0,,,,,,,,,,,,,,,,,,,,,,,,35.62,,1500.0,,4500.0,,26.64,,,,,,,,100.09,,,
20131126173729-077240,CBK-1-i/O-3iso/ys_ol_cbk1i@1595@1647/@1646,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173735-344221,20131126173556-714150,684.73828125,-444.9931640625,,,,,378200.0,,,,,,,,,,,,,,,,,,,,,,1700.0,,37.89,,,,4100.0,,23.36,,3500.0,,,,,,100.01,,,
20131126173717-997916,CBK-1-i/O-3iso/ys_ol_cbk1i@1595@1647/@1647,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126173722-224314,20131126173556-714150,608.6513671875,-408.87109375,,,,,372700.0,,,,,,,,,,,,,,,,,,,,,,,,35.57,,,,4900.0,,26.78,,,,,,,,100.11,,,
